"","Total_strokeNo","Total_strokeRate","Descent_strokeNo","Descent_strokeRate","Ascent_strokeNo","Ascent_strokeRate","Total_strokeIntensity","Total_strokeIntensityPerStroke","Descent_strokeIntensity","Descent_strokeIntensityPerStroke","Ascent_strokeIntensity","Ascent_strokeIntensityPerStroke","Total_pitch","Descent_pitch","Ascent_pitch","Total_speed","Descent_speed","Ascent_speed","Total_glide","Descent_glide","Ascent_glide","Total_ODBA","Descent_ODBA","Ascent_ODBA","Bottom_ODBA","DiveNo","Duration","MaxD","Vair","VairRaw","minMSE_w","initial_depth","glide_duration","avg_pitch","avg_speed","r_sq","p","...38","initial_v","min_v","d_min_v","LMintercept_d","LMgradient_d","LMintercept_d_E","LMgradient_d_E","LMintercept_calc","LMgradient_calc","LMintercept_calc_E","LMgradient_calc_E","LMgradient_d_rsq","LMgradient_calc_rsq","total_stroke","Day","Individual","body_density"
"1269",702,0.98457223,78,0.43575419,315,1.529126214,40.86905813,0.058218032,3.217255786,0.041246869,24.41403353,0.077504868,0.660495118,-55.77873894,43.44466801,1.666506633,1.899392365,1.501021743,201.56,117.2,0,13.26178833,3.281070704,3.954341586,6.02637604,48,714,287.5649109,0.420168067,1e-04,0.054821991,10.862662,30,-54.7808985,1.635064953,0.95149881,6.1e-20,48,1.0790625,1.0790625,10.862662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,1035.689
"1270",691,0.95441989,76,0.460606061,289,1.562162162,48.55038215,0.070261045,4.059643235,0.053416358,28.23056878,0.097683629,4.902247765,-51.96049408,40.11188323,1.699084062,1.89307199,1.598980516,195.12,100.32,1.12,12.86414581,2.753885817,3.148085377,6.962174616,49,725,243.5995789,0,0,0.087975834,10.448777,24,-52.09653979,1.760092292,0.936954809,1.08e-14,49,1.311855,1.311855,10.448777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,1035.689
"1271",435,0.516627078,0,0,220,1.447368421,44.83829267,0.103076535,0,NA,21.95283884,0.099785631,18.73523772,-27.24384247,35.47169373,1.446456415,1.588637521,1.375375878,538.88,107.04,0.64,15.6556575,1.814721302,2.673815297,11.1671209,50,843,249.0744781,0,0,0.045153399,10.120178,12,-47.00917792,1.576631775,0.940997104,1.8e-07,50,1.3608335,1.3608335,10.120178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,1035.689
"1272",673,0.868387097,86,0.74137931,92,1.586206897,55.18919038,0.082004741,4.049936453,0.047092284,7.187025346,0.078119841,-1.079879709,-27.89899227,36.04671078,1.737879769,1.705493699,1.764766659,281.92,37.36,0.52,18.95221445,3.023908958,2.239695631,13.68860986,51,776,122.6351547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,1035.689
"1273",422,0.502380952,5,0.041322314,162,1.572815534,36.77630202,0.087147635,0.076998442,0.015399688,15.88007531,0.098025156,-1.230909348,-28.18612707,37.12503776,1.488421082,1.614548173,1.633097443,523.44,116.12,0,20.57829634,4.648831703,2.046019052,13.88344559,52,841,148.7642212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045678388,-0.001925953,0.034975427,0.003348742,-0.011026226,0.07461796,0.069668491,0.141488345,0.248556129,0.217606021,0.045013097,10,6,1035.689
"1274",400,0.373482726,9,0.028391167,161,1.548076923,38.90475968,0.097261899,0.16523678,0.018359642,15.44067994,0.095904844,-0.892150365,-21.19609353,43.06566823,1.507989465,1.678956593,1.576300541,780.32,302.88,0,29.61170255,6.289561159,2.225852776,21.09628862,53,1072,171.4315643,0,0,0.061673443,10.678369,14,-49.68609807,1.629247479,0.940361276,1.04e-08,53,1.3426334,1.3426334,10.678369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,1035.689
"1275",656,0.620037807,0,0,148,1.662921348,39.03486324,0.059504365,0,NA,12.01848056,0.08120595,-3.986708195,-21.44613238,58.10409796,1.365666893,1.800602988,1.713082258,546.6,182.16,0,41.05312621,3.441291727,2.833837578,34.77799691,54,1059,167.5403595,0,0,0.09870617,11.193737,20,-50.85677285,1.81342472,0.521723513,0.00032247,54,1.5537699,1.5537699,11.193737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,1035.689
"1276",734,0.850521437,38,0.204301075,268,1.505617978,42.61388482,0.058057064,1.111296752,0.029244651,18.48503218,0.068974001,0.610776464,-34.29340761,47.17770495,1.680872739,1.826433549,1.594710322,334.84,144.64,1.92,65.90386671,15.52694402,7.504117468,42.87280522,55,864,262.2139587,4.621848739,0.0011,0.053732604,10.517827,24,-64.54076708,1.829378708,0.82964811,6.42e-10,55,1.5987381,1.5987381,10.517827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,1035.689
"1277",931,0.842533937,13,0.12745098,417,1.510869565,54.05066064,0.058056564,0.787993137,0.060614857,30.32929598,0.072732125,3.818023499,-58.38241124,57.31213288,1.606089796,1.889851868,1.597628624,391.24,89.72,1.68,68.85492202,2.358254043,19.51999467,46.97667331,56,1106,388.3924255,22.26890756,0.0053,0.108137125,17.900135,23,-69.74806217,1.563703117,0.020979463,0.509641877,56,1.7594417,1.4393879,17.900135,0.160423428,-0.002369766,0.033132551,0.003538283,0.101953693,0.069334675,0.068345296,0.126714657,0.130073023,0.090742911,0.313003175,10,6,1035.689
"1278",897,0.781358885,21,0.111702128,531,1.475,54.91395028,0.061219566,1.313501339,0.062547683,37.96978589,0.071506188,5.911044261,-62.63125533,56.09729368,1.595637995,1.942981719,1.485197547,484.6,170.68,3.64,57.57306098,13.99058106,18.90997364,24.67250628,57,1149,447.0183105,29.41176471,0.007,0.042361376,23.644627,21,-72.00509743,1.391742219,0.728356694,8.73e-07,57,1.579388,1.2954551,23.644627,0.21042343,-0.005158799,0.016060563,0.001579123,0.065605886,0.181370058,0.037683479,0.070683612,0.727380707,0.622073162,0.397402056,10,6,1035.689
